Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 14 running estimator on chunk 36740000 - 36750000
Process 14 running estimator on chunk 37040000 - 37050000
Process 14 running estimator on chunk 37340000 - 37350000
Process 14 running estimator on chunk 37640000 - 37650000
Process 14 running estimator on chunk 37940000 - 37950000
Process 14 running estimator on chunk 38240000 - 38250000
Process 14 running estimator on chunk 38540000 - 38550000
Process 14 running estimator on chunk 38840000 - 38850000
Process 14 running estimator on chunk 39140000 - 39150000
Process 14 running estimator on chunk 39440000 - 39450000
Process 14 running estimator on chunk 39740000 - 39750000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 120000 - 130000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 420000 - 430000
Process 12 running estimator on chunk 720000 - 730000
Process 12 running estimator on chunk 1020000 - 1030000
Process 12 running estimator on chunk 1320000 - 1330000
Process 12 running estimator on chunk 1620000 - 1630000
Process 12 running estimator on chunk 1920000 - 1930000
Process 12 running estimator on chunk 2220000 - 2230000
Process 12 running estimator on chunk 2520000 - 2530000
Process 12 running estimator on chunk 2820000 - 2830000
Process 12 running estimator on chunk 3120000 - 3130000
Process 12 running estimator on chunk 3420000 - 3430000
Process 12 running estimator on chunk 3720000 - 3730000
Process 12 running estimator on chunk 4020000 - 4030000
Process 12 running estimator on chunk 4320000 - 4330000
Process 12 running estimator on chunk 4620000 - 4630000
Process 12 running estimator on chunk 4920000 - 4930000
Process 12 running estimator on chunk 5220000 - 5230000
Process 12 running estimator on chunk 5520000 - 5530000
Process 12 running estimator on chunk 5820000 - 5830000
Process 12 running estimator on chunk 6120000 - 6130000
Process 12 running estimator on chunk 6420000 - 6430000
Process 12 running estimator on chunk 6720000 - 6730000
Process 12 running estimator on chunk 7020000 - 7030000
Process 12 running estimator on chunk 7320000 - 7330000
Process 12 running estimator on chunk 7620000 - 7630000
Process 12 running estimator on chunk 7920000 - 7930000
Process 12 running estimator on chunk 8220000 - 8230000
Process 12 running estimator on chunk 8520000 - 8530000
Process 12 running estimator on chunk 8820000 - 8830000
Process 12 running estimator on chunk 9120000 - 9130000
Process 12 running estimator on chunk 9420000 - 9430000
Process 12 running estimator on chunk 9720000 - 9730000
Process 12 running estimator on chunk 10020000 - 10030000
Process 12 running estimator on chunk 10320000 - 10330000
Process 12 running estimator on chunk 10620000 - 10630000
Process 12 running estimator on chunk 10920000 - 10930000
Process 12 running estimator on chunk 11220000 - 11230000
Process 12 running estimator on chunk 11520000 - 11530000
Process 12 running estimator on chunk 11820000 - 11830000
Process 12 running estimator on chunk 12120000 - 12130000
Process 12 running estimator on chunk 12420000 - 12430000
Process 12 running estimator on chunk 12720000 - 12730000
Process 12 running estimator on chunk 13020000 - 13030000
Process 12 running estimator on chunk 13320000 - 13330000
Process 12 running estimator on chunk 13620000 - 13630000
Process 12 running estimator on chunk 13920000 - 13930000
Process 12 running estimator on chunk 14220000 - 14230000
Process 12 running estimator on chunk 14520000 - 14530000
Process 12 running estimator on chunk 14820000 - 14830000
Process 12 running estimator on chunk 15120000 - 15130000
Process 12 running estimator on chunk 15420000 - 15430000
Process 12 running estimator on chunk 15720000 - 15730000
Process 12 running estimator on chunk 16020000 - 16030000
Process 12 running estimator on chunk 16320000 - 16330000
Process 12 running estimator on chunk 16620000 - 16630000
Process 12 running estimator on chunk 16920000 - 16930000
Process 12 running estimator on chunk 17220000 - 17230000
Process 12 running estimator on chunk 17520000 - 17530000
Process 12 running estimator on chunk 17820000 - 17830000
Process 12 running estimator on chunk 18120000 - 18130000
Process 12 running estimator on chunk 18420000 - 18430000
Process 12 running estimator on chunk 18720000 - 18730000
Process 12 running estimator on chunk 19020000 - 19030000
Process 12 running estimator on chunk 19320000 - 19330000
Process 12 running estimator on chunk 19620000 - 19630000
Process 12 running estimator on chunk 19920000 - 19930000
Process 12 running estimator on chunk 20220000 - 20230000
Process 12 running estimator on chunk 20520000 - 20530000
Process 12 running estimator on chunk 20820000 - 20830000
Process 12 running estimator on chunk 21120000 - 21130000
Process 12 running estimator on chunk 21420000 - 21430000
Process 12 running estimator on chunk 21720000 - 21730000
Process 12 running estimator on chunk 22020000 - 22030000
Process 12 running estimator on chunk 22320000 - 22330000
Process 12 running estimator on chunk 22620000 - 22630000
Process 12 running estimator on chunk 22920000 - 22930000
Process 12 running estimator on chunk 23220000 - 23230000
Process 12 running estimator on chunk 23520000 - 23530000
Process 12 running estimator on chunk 23820000 - 23830000
Process 12 running estimator on chunk 24120000 - 24130000
Process 12 running estimator on chunk 24420000 - 24430000
Process 12 running estimator on chunk 24720000 - 24730000
Process 12 running estimator on chunk 25020000 - 25030000
Process 12 running estimator on chunk 25320000 - 25330000
Process 12 running estimator on chunk 25620000 - 25630000
Process 12 running estimator on chunk 25920000 - 25930000
Process 12 running estimator on chunk 26220000 - 26230000
Process 12 running estimator on chunk 26520000 - 26530000
Process 12 running estimator on chunk 26820000 - 26830000
Process 12 running estimator on chunk 27120000 - 27130000
Process 12 running estimator on chunk 27420000 - 27430000
Process 12 running estimator on chunk 27720000 - 27730000
Process 12 running estimator on chunk 28020000 - 28030000
Process 12 running estimator on chunk 28320000 - 28330000
Process 12 running estimator on chunk 28620000 - 28630000
Process 12 running estimator on chunk 28920000 - 28930000
Process 12 running estimator on chunk 29220000 - 29230000
Process 12 running estimator on chunk 29520000 - 29530000
Process 12 running estimator on chunk 29820000 - 29830000
Process 12 running estimator on chunk 30120000 - 30130000
Process 12 running estimator on chunk 30420000 - 30430000
Process 12 running estimator on chunk 30720000 - 30730000
Process 12 running estimator on chunk 31020000 - 31030000
Process 12 running estimator on chunk 31320000 - 31330000
Process 12 running estimator on chunk 31620000 - 31630000
Process 12 running estimator on chunk 31920000 - 31930000
Process 12 running estimator on chunk 32220000 - 32230000
Process 12 running estimator on chunk 32520000 - 32530000
Process 12 running estimator on chunk 32820000 - 32830000
Process 12 running estimator on chunk 33120000 - 33130000
Process 12 running estimator on chunk 33420000 - 33430000
Process 12 running estimator on chunk 33720000 - 33730000
Process 12 running estimator on chunk 34020000 - 34030000
Process 12 running estimator on chunk 34320000 - 34330000
Process 12 running estimator on chunk 34620000 - 34630000
